"rank","team_id","team_name"
1,367,"Louisville"
2,29,"Arizona"
3,739,"Villanova"
4,312,"Iowa"
5,328,"Kansas"
6,521,"Oklahoma St."
7,193,"Duke"
8,416,"Michigan St."
9,235,"Florida"
10,311,"Iowa St."
11,169,"Creighton"
12,418,"Michigan"
13,796,"Wisconsin"
14,746,"Virginia"
15,518,"Ohio St."
16,110,"UCLA"
17,334,"Kentucky"
18,545,"Pittsburgh"
19,782,"Wichita St."
20,529,"Oregon"
21,522,"Oklahoma"
22,688,"Syracuse"
23,694,"Tennessee"
24,626,"San Diego St."
25,31,"Arkansas"
26,260,"Gonzaga"
27,164,"UConn"
28,457,"North Carolina"
29,28,"Arizona St."
30,140,"Cincinnati"
31,275,"Harvard"
32,740,"VCU"
33,663,"SMU"
34,404,"Memphis"
35,674,"Stanford"
36,732,"Utah"
37,51,"Baylor"
38,473,"New Mexico"
39,366,"Louisiana Tech"
40,234,"Florida St."
41,768,"West Virginia"
42,609,"Saint Louis"
43,603,"St. John's (NY)"
44,327,"Kansas St."
45,400,"Massachusetts"
46,77,"BYU"
47,249,"George Washington"
48,812,"Xavier"
49,703,"Texas"
50,251,"Georgetown"
51,463,"Nebraska"
52,306,"Indiana"
53,387,"Marquette"
54,428,"Minnesota"
55,794,"Green Bay"
56,147,"Clemson"
57,107,"California"
58,392,"Maryland"
59,301,"Illinois"
60,157,"Colorado"
61,365,"LSU"
62,556,"Providence"
63,175,"Dayton"
64,493,"North Dakota St."
65,554,"Princeton"
66,700,"Texas Tech"
67,610,"St. Mary's (CA)"
68,606,"Saint Joseph's"
69,539,"Penn St."
70,434,"Missouri"
71,87,"Butler"
72,465,"UNLV"
73,559,"Purdue"
74,66,"Boise St."
75,8,"Alabama"
76,254,"Georgia St."
77,310,"Iona"
78,257,"Georgia"
79,86,"Buffalo"
80,513,"Notre Dame"
81,381,"Manhattan"
82,738,"Vermont"
83,664,"Southern Miss."
84,104,"UC Santa Barbara"
85,504,"UNI"
86,148,"Cleveland St."
87,528,"Oregon St."
88,629,"San Francisco"
89,719,"Tulsa"
90,433,"Ole Miss"
91,415,"Miami (FL)"
92,596,"St. Bonaventure"
93,676,"Stephen F. Austin"
94,490,"North Carolina St."
95,575,"Richmond"
96,37,"Auburn"
97,551,"Portland"
98,472,"New Mexico St."
99,731,"Utah St."
100,340,"La Salle"
101,756,"Washington"
102,811,"Wyoming"
103,489,"N.C. Central"
104,635,"Seton Hall"
105,406,"Mercer"
106,736,"Vanderbilt"
107,277,"Hawaii"
108,419,"Middle Tenn."
109,109,"UC Irvine"
110,158,"Columbia"
111,709,"Toledo"
112,704,"UTEP"
113,191,"Drexel"
114,305,"Indiana St."
115,509,"Northwestern"
116,697,"Texas A&M"
117,534,"Pacific"
118,464,"Omaha"
119,649,"South Dakota St."
120,648,"South Carolina"
121,14927,"Belmont"
122,255,"Georgia Tech"
123,23,"American"
124,80,"Brown"
125,749,"Wake Forest"
126,156,"Colorado St."
127,671,"La.-Lafayette"
128,96,"Fresno St."
129,183,"Denver"
130,774,"Western Mich."
131,572,"Rhode Island"
132,128,"UCF"
133,116,"Canisius"
134,180,"Delaware"
135,519,"Ohio"
136,813,"Yale"
137,657,"Southern California"
138,690,"Temple"
139,248,"George Mason"
140,194,"Duquesne"
141,99,"Long Beach St."
142,67,"Boston College"
143,299,"Illinois St."
144,627,"San Diego"
145,173,"Davidson"
146,454,"Murray St."
147,466,"Nevada"
148,541,"Pepperdine"
149,5,"Akron"
150,562,"Quinnipiac"
151,83,"Bucknell"
152,68,"Boston U."
153,758,"Weber St."
154,754,"Washington St."
155,711,"Towson"
156,669,"Missouri St."
157,30,"Arkansas St."
158,204,"Eastern Mich."
159,742,"Virginia Tech"
160,288,"Houston"
161,176,"DePaul"
162,9,"UAB"
163,458,"Charlotte"
164,308,"IPFW"
165,498,"La.-Monroe"
166,285,"Holy Cross"
167,189,"Drake"
168,202,"Eastern Ky."
169,735,"Valparaiso"
170,786,"William & Mary"
171,370,"Loyola Marymount"
172,631,"Santa Clara"
173,153,"Colgate"
174,172,"Dartmouth"
175,659,"Southern Ill."
176,810,"Wright St."
177,90,"Cal Poly"
178,508,"Northwestern St."
179,817,"Youngstown St."
180,683,"Stony Brook"
181,772,"Western Ky."
182,748,"Wagner"
183,651,"South Fla."
184,1014,"Col. of Charleston"
185,331,"Kent St."
186,797,"Milwaukee"
187,698,"TCU"
188,441,"Montana"
189,184,"Detroit"
190,639,"Siena"
191,444,"Morehead St."
192,502,"Northern Colo."
193,236,"Fordham"
194,587,"Rutgers"
195,523,"Old Dominion"
196,527,"Oral Roberts"
197,514,"Oakland"
198,10411,"USC Upstate"
199,270,"Hampton"
200,1104,NA
201,414,"Miami (OH)"
202,30024,"Utah Valley"
203,14,"Albany (NY)"
204,500,"Northeastern"
205,503,"Northern Ill."
206,665,"Southern U."
207,576,"Rider"
208,294,"Idaho St."
209,2743,NA
210,540,"Penn"
211,72,"Bradley"
212,2915,"Wofford"
213,71,"Bowling Green"
214,81,"Bryant"
215,721,"Air Force"
216,28755,"FGCU"
217,430,"Mississippi St."
218,599,"St. Francis Brooklyn"
219,1356,"Seattle"
220,386,"Marist"
221,702,"Texas-Arlington"
222,219,"Evansville"
223,94,"Bakersfield"
224,1068,"Elon"
225,207,"Eastern Wash."
226,646,"South Ala."
227,579,"Robert Morris"
228,48,"Charleston So."
229,97,"Cal St. Fullerton"
230,624,"Sam Houston St."
231,446,"Morgan St."
232,231,"FIU"
233,650,"South Dakota"
234,32,"UALR"
235,725,"Army"
236,716,"Troy"
237,771,"Western Ill."
238,497,"North Texas"
239,617,"Saint Peter's"
240,450,"Mt. St. Mary's"
241,102,"Sacramento St."
242,342,"Lafayette"
243,741,"VMI"
244,371,"Loyola Chicago"
245,388,"Marshall"
246,196,"East Carolina"
247,654,"Southeast Mo. St."
248,26172,"A&M-Corpus Chris"
249,352,"Lehigh"
250,501,"Northern Ariz."
251,229,"Fla. Atlantic"
252,28600,"Lipscomb"
253,456,"UNC Asheville"
254,317,"James Madison"
255,272,"Hartford"
256,111,"UC Riverside"
257,302,"Ill.-Chicago"
258,792,"Winthrop"
259,19651,"High Point"
260,550,"Portland St."
261,2707,"UMKC"
262,670,"Texas St."
263,101,"Cal St. Northridge"
264,149,"Coastal Caro."
265,439,"Monmouth"
266,198,"East Tenn. St."
267,699,"Texas Southern"
268,769,"Western Caro."
269,2711,"North Florida"
270,295,"Idaho"
271,494,"North Dakota"
272,630,"San Jose St."
273,283,"Hofstra"
274,220,"Fairfield"
275,1092,"Gardner-Webb"
276,485,"Norfolk St."
277,563,"Radford"
278,129,"Central Mich."
279,460,"UNC Wilmington"
280,632,"Savannah St."
281,369,"Loyola Maryland"
282,474,NA
283,47,"Ball St."
284,692,"Tennessee Tech"
285,574,"Rice"
286,222,"Fairleigh Dickinson"
287,471,"NJIT"
288,483,"Nicholls St."
289,691,"Tennessee St."
290,43,"Austin Peay"
291,482,"Niagara"
292,718,"Tulane"
293,440,"Montana St."
294,7,"Alabama St."
295,505,NA
296,726,"Navy"
297,693,"Chattanooga"
298,368,NA
299,136,"Chicago St."
300,201,"Eastern Ill."
301,660,"SIU Edwardsville"
302,706,"UTSA"
303,6,"Alabama A&M"
304,655,"Southeastern La."
305,316,"Jacksonville"
306,536,"Tex.-Pan American"
307,165,"Coppin St."
308,314,"Jackson St."
309,355,"Liberty"
310,315,"Jacksonville St."
311,178,"Delaware St."
312,361,"LIU Brooklyn"
313,127,"Central Conn. St."
314,600,"Saint Francis (PA)"
315,402,"McNeese St."
316,590,"Sacred Heart"
317,108,"UC Davis"
318,228,"Florida A&M"
319,253,"Ga. Southern"
320,391,"UMBC"
321,469,"New Hampshire"
322,695,"UT Martin"
323,2678,"Ark.-Pine Bluff"
324,17,"Alcorn"
325,167,"Cornell"
326,1004,"Central Ark."
327,459,"UNC Greensboro"
328,27,"Appalachian St."
329,2699,"IUPUI"
330,62,"Binghamton"
331,115,"Campbell"
332,625,"Samford"
333,244,"Furman"
334,380,"Maine"
335,393,"UMES"
336,647,"South Carolina St."
337,678,"Stetson"
338,346,"Lamar"
339,61,"Bethune-Cookman"
340,488,"N.C. A&T"
341,287,"Houston Baptist"
342,1157,"Kennesaw St."
343,553,"Prairie View"
344,290,"Howard"
345,667,"Southern Utah"
346,2,NA
347,141,"Citadel"
348,432,"Mississippi Val."
349,261,"Grambling"
350,363,"Longwood"
351,1320,"Presbyterian"
